Year,Month,Day,Open,High,Low,Close,Volumn,Return
2020,10,5,1.17086000,1.17970000,1.17039000,1.17828000,156573,1.00571019
2020,10,2,1.17440000,1.17484000,1.16951000,1.17159000,175253,0.99762428
2020,10,1,1.17187000,1.17691000,1.17166000,1.17438000,163747,1.00215898
2020,9,30,1.17421000,1.17543000,1.16842000,1.17185000,170680,0.99798164
2020,9,29,1.16600000,1.17448000,1.16589000,1.17422000,151873,1.00665261
2020,9,28,1.16192000,1.16794000,1.16144000,1.16646000,154484,1.00288021
2020,9,25,1.16716000,1.16844000,1.16093000,1.16311000,164188,0.99653004
2020,9,24,1.16595000,1.16864000,1.16231000,1.16716000,180163,1.00109788
2020,9,23,1.17065000,1.17185000,1.16509000,1.16588000,177146,0.99587430
2020,9,22,1.17697000,1.17726000,1.16865000,1.17071000,173121,0.99466436
2020,9,21,1.18422000,1.18713000,1.17312000,1.17699000,169883,0.99397865
2020,9,18,1.18468000,1.18697000,1.18264000,1.18412000,164652,0.99949355
2020,9,17,1.18119000,1.18515000,1.17374000,1.18472000,178839,1.00274232
2020,9,16,1.18459000,1.18818000,1.17870000,1.18148000,159820,0.99744198
2020,9,15,1.18634000,1.18992000,1.18392000,1.18451000,150616,0.99891213
2020,9,14,1.18323000,1.18873000,1.18314000,1.18580000,146472,1.00112287
2020,9,11,1.18142000,1.18736000,1.18067000,1.18447000,163453,1.00257315
2020,9,10,1.18019000,1.19165000,1.17941000,1.18143000,166195,1.00105916
2020,9,9,1.17756000,1.18330000,1.17525000,1.18018000,164272,1.00219941
2020,9,8,1.18114000,1.18269000,1.17652000,1.17759000,166490,0.99704508
2020,9,7,1.18439000,1.18482000,1.18100000,1.18108000,144067,0.99771917
2020,9,4,1.18506000,1.18649000,1.17804000,1.18378000,173445,0.99893674
2020,9,3,1.18538000,1.18640000,1.17868000,1.18504000,173836,0.99973004
2020,9,2,1.19109000,1.19282000,1.18219000,1.18536000,167278,0.99519764
2020,9,1,1.19353000,1.20103000,1.19008000,1.19108000,174322,0.99794727
2020,8,31,1.18969000,1.19655000,1.18840000,1.19353000,172031,1.00262937
2020,8,28,1.18212000,1.19192000,1.18104000,1.19040000,174565,1.00703844
2020,8,27,1.18293000,1.19008000,1.17620000,1.18208000,170695,0.99929834
2020,8,26,1.18335000,1.18386000,1.17717000,1.18291000,159689,0.99964507
2020,8,25,1.17839000,1.18429000,1.17835000,1.18333000,163417,1.00397916
2020,8,24,1.17909000,1.18491000,1.17836000,1.17864000,155882,0.99917769
2020,8,21,1.18584000,1.18824000,1.17537000,1.17961000,162742,0.99466246
2020,8,20,1.18371000,1.18682000,1.18016000,1.18594000,171470,1.00183313
2020,8,19,1.19304000,1.19522000,1.18298000,1.18377000,165223,0.99223825
2020,8,18,1.18660000,1.19657000,1.18623000,1.19303000,156405,1.00516471
2020,8,17,1.18378000,1.18804000,1.18272000,1.18690000,145748,1.00230541
2020,8,14,1.18119000,1.18499000,1.17816000,1.18417000,152359,1.00250590
2020,8,13,1.17792000,1.18637000,1.17787000,1.18121000,155477,1.00246115
2020,8,12,1.17390000,1.18156000,1.17106000,1.17831000,166136,1.00377381
2020,8,11,1.17359000,1.18071000,1.17216000,1.17388000,164364,1.00016188
2020,8,10,1.17857000,1.18001000,1.17349000,1.17369000,148423,0.99570732
2020,8,7,1.18759000,1.18820000,1.17549000,1.17875000,166073,0.99259814
2020,8,6,1.18617000,1.19153000,1.18174000,1.18754000,167410,1.00112122
2020,8,5,1.18017000,1.19043000,1.17919000,1.18621000,160316,1.00513494
2020,8,4,1.17610000,1.18044000,1.17207000,1.18015000,161608,1.00343505
2020,8,3,1.17720000,1.17961000,1.16954000,1.17611000,167488,0.99843796
2020,7,31,1.18458000,1.19080000,1.17617000,1.17795000,181944,0.99440308
2020,7,30,1.17902000,1.18485000,1.17305000,1.18458000,162527,1.00472430
2020,7,29,1.17097000,1.18052000,1.17097000,1.17901000,156524,1.00641918
2020,7,28,1.17507000,1.17731000,1.16982000,1.17149000,166674,0.99698731
2020,7,27,1.16423000,1.17809000,1.16389000,1.17503000,169198,1.00821135
2020,7,24,1.15930000,1.16574000,1.15807000,1.16546000,161772,1.00511414
2020,7,23,1.15686000,1.16262000,1.15398000,1.15953000,157788,1.00231664
2020,7,22,1.15256000,1.16012000,1.15066000,1.15685000,158599,1.00373086
2020,7,21,1.14420000,1.15392000,1.14225000,1.15255000,152578,1.00692806
2020,7,20,1.14084000,1.14672000,1.14021000,1.14462000,155436,1.00153123
2020,7,17,1.13826000,1.14431000,1.13718000,1.14287000,141654,1.00405886
2020,7,16,1.14104000,1.14411000,1.13699000,1.13825000,151478,0.99758109
2020,7,15,1.13942000,1.14515000,1.13896000,1.14101000,155637,1.00103524
2020,7,14,1.13428000,1.14081000,1.13247000,1.13983000,152714,1.00487525
2020,7,13,1.13020000,1.13744000,1.13003000,1.13430000,150432,1.00387638
2020,7,10,1.12838000,1.13243000,1.12543000,1.12992000,148027,1.00139141
